reference,report_period,year,entity,sector,subject,winning_bid_bhd
GH/101/2025,2025-04,2025,المستشفيات الحكومية,المواد والمعدات,توريد وتركيب معدات وأنظمة مكافحة الحريق,246278.56
GH/107/2024,2025-04,2025,المستشفيات الحكومية,الخدمات والمزايدات والاستثمار,توفير خدمات التنظيفات لمستشفى الطب النفسي,261999.98
GH/109/2024,2025-04,2025,المستشفيات الحكومية,المواد والمعدات,توفير المركبات وإدارة خدمات المواصلات للمستشفيات الحكومية,231000.0
TB/38016/2025,2025-04,2025,المستشفيات الحكومية,الخدمات والمزايدات والاستثمار,خدمات قراءات الرنين المغناطيسي بالمستشفيات الحكومية,30000.0
RF/BE/2025/02,2025-04,2025,بابكو انرجيز,الخدمات والمزايدات والاستثمار,Provision of Directors and Officers Liability Insurance for Bapco Energies,67860.0
TP-1211-2024,2025-04,2025,بابكو للاستكشاف والانتاج,الخدمات والمزايدات والاستثمار,Provision of Expansion of The Fiber Optic Communication Network,457428.83
TP-1252-2024,2025-04,2025,بابكو للاستكشاف والانتاج,الخدمات والمزايدات والاستثمار,SUPPLY OF FITTINGS,63150.47
TP-1226-2024,2025-04,2025,بابكو للاستكشاف والانتاج,الخدمات والمزايدات والاستثمار,full petrel certified hardware with 3D Seismic storage setup,1787915.24
TP-1244-2024,2025-04,2025,بابكو للاستكشاف والانتاج,الخدمات والمزايدات والاستثمار,Supply of Warehouse Manpower Services,638208.0
TP-1253-2024,2025-04,2025,بابكو للاستكشاف والانتاج,الخدمات والمزايدات والاستثمار,PIPELINE HOT BENDING SERVICES,246383.613
T78717(20),2025-04,2025,بابكو للتكرير,الخدمات والمزايدات والاستثمار,Internal Cleaning and Intelligent Pigging Service for 6VDU Heater in Shutdown 2025,94653.0
Q78864 (56),2025-04,2025,بابكو للتكرير,المواد والمعدات,Purchase of Aluminum Sandwich Roof and Wall Cladding Sheets with Other Fixtures for Warehouse,52740.27
TB/37304/2024,2025-04,2025,بابكو للتكرير,المواد والمعدات,PURCHASE TWO LOADS OF SULPHUR GUARF BED (SGB) ADSORBENT FOR THE SUPPLY IN AUGUST 2025,476941.0
