reference,report_period,year,entity,sector,subject,description,issued_by,internal_external,invitation_method,alternate_bid,initial_bond,tender_fee,bond_validity_days,contract_duration_months,days_to_close,publish_year,publish_month,winning_bid_bhd,priority,source_url
RFP/08/2025/008,2025-12,2025,مجلس التنمية الأقتصادية,الخدمات والمزايدات والاستثمار,تأجير مركبات لمجلس التنمية الاقتصادية ا,The lease of Five (5) brand new vehicles Two (2) mid-range vehicles for guests and daily use; and One (1) standard vehicle for daily use; and Two (2) luxury vehicles As per the Specifications mentioned in the RFP documents,Economic Development Board,External,Public (LOCAL GCC),Yes,500.0,30.0,180.0,36.0,21,2025,9,64332.0,1,https://www.tenderboard.gov.bh/TenderDetails/?id=521%2f2025%2fBTB+(RFP%2f08%2f2025%2f008)
RFP/GSA/08/2025,2025-12,2025,الهيئة العامة للرياضة,المواد والمعدات,تطوير وتنفيذ نظام التراخيص للهيئة العامة للرياضة E-GSALS,"The General Sports Authority is implementing and developing the General Sports Authoritys main website and licensing system to automate operations and enhance online services for sports clubs federations coaches gyms and academies in Bahrain. The system includes a licensing portal for GSA staff a user portal for accessing information and requesting services, and inspection services. A single envelope bidding process will be conducted.",General Sports Authority,External,Public (LOCAL GCC),No,1000.0,50.0,180.0,24.0,37,2025,9,85360.0,1,https://www.tenderboard.gov.bh/TenderDetails/?id=562%2f2025%2fBTB+(RFP%2fGSA%2f08%2f2025)
RFP/GSA/10/2025,2025-12,2025,الهيئة العامة للرياضة,المواد والمعدات,صيانة مصاعد المنشآت التابعة للهيئة العامة للرياضة,The General Sports Authority are looking to develop the sports facilities throug maintenance of elevators at various GSA facilities in the Kingdom of Bahrain. Contractor is required to fulfill their obligations to the contract and is subject to the terms and conditions of the contract.,General Sports Authority,External,Public (LOCAL GCC),No,500.0,30.0,180.0,36.0,16,2025,9,63100.0,1,https://www.tenderboard.gov.bh/TenderDetails/?id=563%2f2025%2fBTB+(RFP%2fGSA%2f10%2f2025%09)
RFP/MOIC/2025/03,2025-12,2025,وزارة الصناعة والتجارة,الإنشاءات والاستشارات الهندسية,صيانة شبكات الري وأعمال التشجير في منطقة البحرين العالمية للاستثمار,"The Ministry of Industry and Commerce request maintenance of landscape, irrigation and landscape lighting at Bahrain international investment park , Include but not be limited to all labor, supervision, materials, supplies, equipment and services to maintain in superior condition those lawn grass areas, flower beds, ground covers, shrubs, hedges, trees, palms, gravel areas, complete automatic irrigation system and landscape lighting . Contract will be for a period of 36 months.",Ministry of Industry and Commerce,External,Public (LOCAL GCC),Yes,1000.0,50.0,90.0,36.0,27,2025,11,102275.8,1,https://www.tenderboard.gov.bh/TenderDetails/?id=672%2f2025%2fBTB+(RFP%2fMOIC%2f2025%2f03)
RFP/MOSD/2025/47,2025-12,2025,وزارة التنمية الاجتماعية,الخدمات والمزايدات والاستثمار,توفير ممرضات ومساعدين تمريض وطباخين ا ومساعدين طباخ ومرافقات لدور ومراكز الرعاية والتأهيل الاجتماعي التابعة للوزار ة,The Ministry of Social Development (MOSD) intends to issue a tender for Providing Nurses and Nursing Assistants; Cooks and Assistants Cook; and Escorts at The Social Care and Rehabilitation Centers of The Ministry. Number of staff required is 116 Bidders wishing to participate must comply with the requirements and conditions contained in the tender document.,Ministry of Social Development,External,Public (LOCAL GCC),No,5000.0,100.0,180.0,42.0,15,2025,1,3144949.5,1,https://www.tenderboard.gov.bh/TenderDetails/?id=64%2f2025%2fBTB+(RFP%2fMOSD%2f2025%2f47)
RFP/BE/2024/18,2025-11,2025,بابكو انرجيز,الخدمات والمزايدات والاستثمار,Framework Agreement ا for Managed IT. Services,Bapco Energies is looking to tender for the procurement of a Framework Agreement for Managed IT services to be used by the company .,Bapco Energies,External,Public (LOCAL GCC),No,5000.0,100.0,120.0,60.0,34,2024,11,2500000.0,1,https://www.tenderboard.gov.bh/TenderDetails/?id=947%2f2024%2fBTB+(RFP%2fBE%2f2024%2f18)
RFP/GSA/06/2025,2025-11,2025,الهيئة العامة للرياضة,الخدمات والمزايدات والاستثمار,تقديم خدمات التنظيف العامة ا بالمنشآت الرياضية التابعة للهيئة,"The General Sports Authority is looking forward to issuing a public tender for general cleaning services at the sports facilities of the General Sports Authority , according to the technical specifications included in the tender and according to the specified locations. The work shall be carried out in accordance with the approved standards recognized internationally or locally or according to what is determined by the GSA, while considering during implementation all relevant laws and regulations, including, for example, health and safety laws.",General Sports Authority,External,Public (LOCAL GCC),No,4000.0,100.0,180.0,24.0,21,2025,9,730646.4,1,https://www.tenderboard.gov.bh/TenderDetails/?id=532%2f2025%2fBTB+(RFP%2fGSA%2f06%2f2025)
RFP/GSA/09/2025,2025-11,2025,الهيئة العامة للرياضة,الخدمات والمزايدات والاستثمار,صيانة لوائح النتائج لمنشآت الهيئة ا,The General Sports Authority are looking to develop the Sports Facilities through Scoreboard Maintenance for various GSA facilities in the Kingdom of Bahrain. Contractor is required to fulfill their obligations to the contract and is subject to the terms and conditions of the contract.,General Sports Authority,External,Public (LOCAL GCC),No,4000.0,100.0,180.0,36.0,16,2025,9,506880.0,1,https://www.tenderboard.gov.bh/TenderDetails/?id=565%2f2025%2fBTB+(RFP%2fGSA%2f09%2f2025)
RFP/GSA/05/2025,2025-10,2025,الهيئة العامة للرياضة,المواد والمعدات,تطوير أجهزة التحويل التلقائيATS في مدينة خليفة الرياضية ونادي المحرق,"The General Sports Authority GSA requires the supply and installation of ATS at Khalifa Sports City KSC and Muharraq Stadium as per given Scope of Work, BOQ and specifications complete with all accessories and not limited to cable glands, lugs, heat shrinks, cable ties, nut bolts, union stud etc. and labelling and marking. 1 KSC Sports hall and stadium Installation of new ATS panels with new cables to feed power to the LV panels including Termination Rerouting Disconnecting cables. Construction of electrical room near the stadium. 2 Muharraq stadium Dismantling of existing main panel in the electrical room supply and Installation of new LV panel and an ATS Panel including Termination Disconnecting cables",General Sports Authority,External,Public (LOCAL GCC),No,1000.0,50.0,180.0,12.0,24,2025,7,79913.5,1,https://www.tenderboard.gov.bh/TenderDetails/?id=424%2f2025%2fBTB+(RFP%2fGSA%2f05%2f2025)
RFP/ICC/2025/1,2025-10,2025,مركز عيسى الثقافي,الخدمات والمزايدات والاستثمار,أعمال النظافة والبستنة بمركز عيسى ا الثقافي,"Cleaning and gardening of the Isa Cultural Centre buildings for two years, performing cleaning operations to the highest level of cleanliness, which will cover daily, weekly, and monthly tasks such as sweeping, washroom cleaning, glass surface cleaning, deep cleaning, window glass cleaning, sanitizing, dusting, and wiping. Additionally, the maintenance of the outdoor garden and execution of gardening work will be included. The required number of cleaners is 11, along with one supervisor and 3 gardeners",Isa Cultural Centre,External,Public (LOCAL GCC),No,1000.0,50.0,180.0,24.0,24,2025,8,89760.0,1,https://www.tenderboard.gov.bh/TenderDetails/?id=448%2f2025%2fBTB+(RFP%2fICC%2f2025%2f1)
