source_file,page,report_period,entity,entity_normalized,tender_number,tender_number_normalized,type,subject,sector,value_bhd,entity_feature,sector_feature,subject_feature,target_log_bhd
April2025.pdf,1,2025-04,المستشفيات الحكومية,المستشفيات الحكومية,GH/101/2025,GH/101/2025,مناقصة,توريد وتركيب معدات وأنظمة مكافحة الحريق,المواد والمعدات,246278.56,المستشفيات الحكومية,المواد والمعدات,توريد وتركيب معدات وأنظمة مكافحة الحريق,12.414222592439176
April2025.pdf,1,2025-04,المستشفيات الحكومية,المستشفيات الحكومية,GH/107/2024,GH/107/2024,مناقصة,توفير خدمات التنظيفات لمستشفى الطب النفسي,الخدمات والمزايدات والاستثمار,261999.98,المستشفيات الحكومية,الخدمات والمزايدات والاستثمار,توفير خدمات التنظيفات لمستشفى الطب النفسي,12.476103523194254
April2025.pdf,1,2025-04,المستشفيات الحكومية,المستشفيات الحكومية,GH/109/2024,GH/109/2024,مناقصة,توفير المركبات وإدارة خدمات المواصلات للمستشفيات الحكومية,المواد والمعدات,231000.0,المستشفيات الحكومية,المواد والمعدات,توفير المركبات وإدارة خدمات المواصلات للمستشفيات الحكومية,12.35017731849889
April2025.pdf,1,2025-04,المستشفيات الحكومية,المستشفيات الحكومية,TB/38016/2025,TB/38016/2025,مناقصة,خدمات قراءات الرنين المغناطيسي بالمستشفيات الحكومية,الخدمات والمزايدات والاستثمار,30000.0,المستشفيات الحكومية,الخدمات والمزايدات والاستثمار,خدمات قراءات الرنين المغناطيسي بالمستشفيات الحكومية,10.308985993422082
April2025.pdf,1,2025-04,بابكو انرجيز,بابكو انرجيز,RF/BE/2025/02,RF/BE/2025/02,مناقصة,Provision of Directors and Officers Liability Insurance for Bapco Energies,الخدمات والمزايدات والاستثمار,67860.0,بابكو انرجيز,الخدمات والمزايدات والاستثمار,Provision of Directors and Officers Liability Insurance for Bapco Energies,11.125216774451276
April2025.pdf,2,2025-04,بابكو للاستكشاف والانتاج,بابكو للاستكشاف والانتاج,TP-1211-2024,TP-1211-2024,مناقصة,Provision of Expansion of The Fiber Optic Communication Network,الخدمات والمزايدات والاستثمار,457428.83,بابكو للاستكشاف والانتاج,الخدمات والمزايدات والاستثمار,Provision of Expansion of The Fiber Optic Communication Network,13.03337877488507
April2025.pdf,2,2025-04,بابكو للاستكشاف والانتاج,بابكو للاستكشاف والانتاج,TP-1252-2024,TP-1252-2024,مناقصة,SUPPLY OF FITTINGS,الخدمات والمزايدات والاستثمار,63150.47,بابكو للاستكشاف والانتاج,الخدمات والمزايدات والاستثمار,SUPPLY OF FITTINGS,11.053291405417449
April2025.pdf,2,2025-04,بابكو للاستكشاف والانتاج,بابكو للاستكشاف والانتاج,TP-1226-2024,TP-1226-2024,مناقصة,full petrel certified hardware with 3D Seismic storage setup,الخدمات والمزايدات والاستثمار,1787915.24,بابكو للاستكشاف والانتاج,الخدمات والمزايدات والاستثمار,full petrel certified hardware with 3D Seismic storage setup,14.396561387980721
April2025.pdf,2,2025-04,بابكو للاستكشاف والانتاج,بابكو للاستكشاف والانتاج,TP-1244-2024,TP-1244-2024,مناقصة,Supply of Warehouse Manpower Services,الخدمات والمزايدات والاستثمار,638208.0,بابكو للاستكشاف والانتاج,الخدمات والمزايدات والاستثمار,Supply of Warehouse Manpower Services,13.366421094889176
April2025.pdf,2,2025-04,بابكو للاستكشاف والانتاج,بابكو للاستكشاف والانتاج,TP-1253-2024,TP-1253-2024,مناقصة,PIPELINE HOT BENDING SERVICES,الخدمات والمزايدات والاستثمار,246383.613,بابكو للاستكشاف والانتاج,الخدمات والمزايدات والاستثمار,PIPELINE HOT BENDING SERVICES,12.414649061451332
April2025.pdf,2,2025-04,بابكو للتكرير,بابكو للتكرير,T78717(20),T78717(20),مناقصة,Internal Cleaning and Intelligent Pigging Service for 6VDU Heater in Shutdown 2025,الخدمات والمزايدات والاستثمار,94653.0,بابكو للتكرير,الخدمات والمزايدات والاستثمار,Internal Cleaning and Intelligent Pigging Service for 6VDU Heater in Shutdown 2025,11.457983416705936
April2025.pdf,2,2025-04,بابكو للتكرير,بابكو للتكرير,Q78864 (56),Q78864(56),مناقصة,Purchase of Aluminum Sandwich Roof and Wall Cladding Sheets with Other Fixtures for Warehouse,المواد والمعدات,52740.27,بابكو للتكرير,المواد والمعدات,Purchase of Aluminum Sandwich Roof and Wall Cladding Sheets with Other Fixtures for Warehouse,10.873153540011737
