source_file,page,report_period,entity,entity_normalized,tender_number,tender_number_normalized,type,subject,sector,value_bhd,entity_feature,sector_feature,subject_feature,target_log_bhd,report_year,ref_class,enrichment_priority,enrichment_priority_label,tier2_status,tier2_matched_pa_ref,tier2_tender_number_full,tier2_description,tier2_issued_by,tier2_category_sector,tier2_internal_external,tier2_invitation_method,tier2_initial_bond,tier2_bond_validity,tier2_tender_fees,tier2_contract_duration,tier2_alternate_bid_allowed,tier2_publish_date,tier2_purchase_before,tier2_closing_date,tier2_opening_date,tier2_source_url,tier2_title,tier2_sme_exclusive,tier2_additional_notes,tier2_reference_match_mode,tier2_error,tier2_processed_at_utc,tier2_parser_version
Dec2025.pdf,6,2025-12,مجلس التنمية الأقتصادية,مجلس التنمية الأقتصادية,RFP/08/2025/008,RFP/08/2025/008,مناقصة,تأجير مركبات لمجلس التنمية الاقتصادية ا,الخدمات والمزايدات والاستثمار,64332.0,مجلس التنمية الأقتصادية,الخدمات والمزايدات والاستثمار,تأجير مركبات لمجلس التنمية الاقتصادية ا,11.071827997858339,2025,RFP,1,P1_RFP,accepted_exact,RFP/08/2025/008,521/2025/BTB (RFP/08/2025/008),The lease of Five (5) brand new vehicles Two (2) mid-range vehicles for guests and daily use; and One (1) standard vehicle for daily use; and Two (2) luxury vehicles As per the Specifications mentioned in the RFP documents,Economic Development Board,,External,Public (LOCAL GCC),BD 500,180 days,BD 30,3 Year,Yes,"Wednesday, 03 September 2025","Tuesday, 16 September 2025","Wednesday, 24 September 2025","Thursday, 25 September 2025",https://www.tenderboard.gov.bh/TenderDetails/?id=521%2f2025%2fBTB+(RFP%2f08%2f2025%2f008),,,,,,,
Dec2025.pdf,5,2025-12,شركة بابكو للغاز,شركة بابكو للغاز,RFP/2025/0510,RFP/2025/0510,مناقصة,LONG TERM MAINTENANCE ا SERVICE CONTRACT FOR SGT-400 GAS TURBINES AT RGC-I/II/III,الخدمات والمزايدات والاستثمار,8616028.0,شركة بابكو للغاز,الخدمات والمزايدات والاستثمار,LONG TERM MAINTENANCE ا SERVICE CONTRACT FOR SGT-400 GAS TURBINES AT RGC-I/II/III,15.96913486364371,2025,RFP,1,P1_RFP,not_found,,,,,,,,,,,,,,,,,,,,,,,,
Dec2025.pdf,2,2025-12,الهيئة العامة للرياضة,الهيئة العامة للرياضة,RFP/GSA/08/2025,RFP/GSA/08/2025,مناقصة,تطوير وتنفيذ نظام التراخيص للهيئة العامة للرياضة E-GSALS,المواد والمعدات,85360.0,الهيئة العامة للرياضة,المواد والمعدات,تطوير وتنفيذ نظام التراخيص للهيئة العامة للرياضة E-GSALS,11.354644600996048,2025,RFP,1,P1_RFP,accepted_exact,RFP/GSA/08/2025,562/2025/BTB (RFP/GSA/08/2025),"The General Sports Authority is implementing and developing the General Sports Authoritys main website and licensing system to automate operations and enhance online services for sports clubs federations coaches gyms and academies in Bahrain. The system includes a licensing portal for GSA staff a user portal for accessing information and requesting services, and inspection services. A single envelope bidding process will be conducted.",General Sports Authority,,External,Public (LOCAL GCC),BD 1000,180 days,BD 50,24 Month,No,"Monday, 22 September 2025","Thursday, 09 October 2025","Wednesday, 29 October 2025","Thursday, 30 October 2025",https://www.tenderboard.gov.bh/TenderDetails/?id=562%2f2025%2fBTB+(RFP%2fGSA%2f08%2f2025),,,,,,,
Dec2025.pdf,2,2025-12,الهيئة العامة للرياضة,الهيئة العامة للرياضة,RFP/GSA/10/2025,RFP/GSA/10/2025,مناقصة,صيانة مصاعد المنشآت التابعة للهيئة العامة للرياضة,المواد والمعدات,63100.0,الهيئة العامة للرياضة,المواد والمعدات,صيانة مصاعد المنشآت التابعة للهيئة العامة للرياضة,11.052491896264268,2025,RFP,1,P1_RFP,accepted_exact,RFP/GSA/10/2025,563/2025/BTB (RFP/GSA/10/2025 ),The General Sports Authority are looking to develop the sports facilities throug maintenance of elevators at various GSA facilities in the Kingdom of Bahrain. Contractor is required to fulfill their obligations to the contract and is subject to the terms and conditions of the contract.,General Sports Authority,,External,Public (LOCAL GCC),BD 500,180 days,BD 30,36 Month,No,"Monday, 22 September 2025","Saturday, 27 September 2025","Wednesday, 08 October 2025","Thursday, 09 October 2025",https://www.tenderboard.gov.bh/TenderDetails/?id=563%2f2025%2fBTB+(RFP%2fGSA%2f10%2f2025%09),,,,,,,
Dec2025.pdf,13,2025-12,وزارة الصناعة والتجارة,وزارة الصناعة والتجارة,RFP/MOIC/2025/03,RFP/MOIC/2025/03,مناقصة,صيانة شبكات الري وأعمال التشجير في منطقة البحرين العالمية للاستثمار,الإنشاءات والاستشارات الهندسية,102275.8,وزارة الصناعة والتجارة,الإنشاءات والاستشارات الهندسية,صيانة شبكات الري وأعمال التشجير في منطقة البحرين العالمية للاستثمار,11.535438142251625,2025,RFP,1,P1_RFP,accepted_exact,RFP/MOIC/2025/03,672/2025/BTB (RFP/MOIC/2025/03),"The Ministry of Industry and Commerce request maintenance of landscape, irrigation and landscape lighting at Bahrain international investment park , Include but not be limited to all labor, supervision, materials, supplies, equipment and services to maintain in superior condition those lawn grass areas, flower beds, ground covers, shrubs, hedges, trees, palms, gravel areas, complete automatic irrigation system and landscape lighting . Contract will be for a period of 36 months.",Ministry of Industry and Commerce,,External,Public (LOCAL GCC),BD 1000,90 days,BD 50,3 Year,Yes,"Thursday, 06 November 2025","Sunday, 23 November 2025","Wednesday, 03 December 2025","Thursday, 04 December 2025",https://www.tenderboard.gov.bh/TenderDetails/?id=672%2f2025%2fBTB+(RFP%2fMOIC%2f2025%2f03),,,,,,,
Dec2025.pdf,13,2025-12,وزارة التنمية الاجتماعية,وزارة التنمية الاجتماعية,RFP/MOSD/2025/47,RFP/MOSD/2025/47,مناقصة,توفير ممرضات ومساعدين تمريض وطباخين ا ومساعدين طباخ ومرافقات لدور ومراكز الرعاية والتأهيل الاجتماعي التابعة للوزار ة,الخدمات والمزايدات والاستثمار,3144949.5,وزارة التنمية الاجتماعية,الخدمات والمزايدات والاستثمار,توفير ممرضات ومساعدين تمريض وطباخين ا ومساعدين طباخ ومرافقات لدور ومراكز الرعاية والتأهيل الاجتماعي التابعة للوزار ة,14.961308708724134,2025,RFP,1,P1_RFP,accepted_exact,RFP/MOSD/2025/47,64/2025/BTB (RFP/MOSD/2025/47),The Ministry of Social Development (MOSD) intends to issue a tender for Providing Nurses and Nursing Assistants; Cooks and Assistants Cook; and Escorts at The Social Care and Rehabilitation Centers of The Ministry. Number of staff required is 116 Bidders wishing to participate must comply with the requirements and conditions contained in the tender document.,Ministry of Social Development,,External,Public (LOCAL GCC),BD 5000,180 days,BD 100,42 Month,No,"Tuesday, 28 January 2025","Tuesday, 04 February 2025","Wednesday, 12 February 2025","Thursday, 13 February 2025",https://www.tenderboard.gov.bh/TenderDetails/?id=64%2f2025%2fBTB+(RFP%2fMOSD%2f2025%2f47),,,,,,,
Awarded Tenders Nov 2025.pdf,3,2025-11,بابكو انرجيز,بابكو انرجيز,RFP/BE/2024/18,RFP/BE/2024/18,مناقصة,Framework Agreement ا for Managed IT. Services,الخدمات والمزايدات والاستثمار,2500000.0,بابكو انرجيز,الخدمات والمزايدات والاستثمار,Framework Agreement ا for Managed IT. Services,14.731801689838349,2025,RFP,1,P1_RFP,accepted_exact,RFP/BE/2024/18,947/2024/BTB (RFP/BE/2024/18),Bapco Energies is looking to tender for the procurement of a Framework Agreement for Managed IT services to be used by the company .,Bapco Energies,,External,Public (LOCAL GCC),BD 5000,120 days,BD 100,5 Year,No,"Monday, 18 November 2024","Sunday, 24 November 2024","Sunday, 22 December 2024","Monday, 23 December 2024",https://www.tenderboard.gov.bh/TenderDetails/?id=947%2f2024%2fBTB+(RFP%2fBE%2f2024%2f18),,,,,,,
Awarded Tenders Nov 2025.pdf,3,2025-11,الهيئة العامة للرياضة,الهيئة العامة للرياضة,RFP/GSA/04/2025,RFP/GSA/04/2025,مناقصة,صيانة أجهزة التكييف لمنشآت ا الهيئة,الخدمات والمزايدات والاستثمار,390000.0,الهيئة العامة للرياضة,الخدمات والمزايدات والاستثمار,صيانة أجهزة التكييف لمنشآت ا الهيئة,12.873904582205107,2025,RFP,1,P1_RFP,review_transformed,(RFP/GSA/04/2025),,,,,,,,,,,,,,,,,,,,,,,
Awarded Tenders Nov 2025.pdf,3,2025-11,الهيئة العامة للرياضة,الهيئة العامة للرياضة,RFP/GSA/06/2025,RFP/GSA/06/2025,مناقصة,تقديم خدمات التنظيف العامة ا بالمنشآت الرياضية التابعة للهيئة,الخدمات والمزايدات والاستثمار,730646.4,الهيئة العامة للرياضة,الخدمات والمزايدات والاستثمار,تقديم خدمات التنظيف العامة ا بالمنشآت الرياضية التابعة للهيئة,13.501686269421137,2025,RFP,1,P1_RFP,accepted_exact,RFP/GSA/06/2025,532/2025/BTB (RFP/GSA/06/2025),"The General Sports Authority is looking forward to issuing a public tender for general cleaning services at the sports facilities of the General Sports Authority , according to the technical specifications included in the tender and according to the specified locations. The work shall be carried out in accordance with the approved standards recognized internationally or locally or according to what is determined by the GSA, while considering during implementation all relevant laws and regulations, including, for example, health and safety laws.",General Sports Authority,,External,Public (LOCAL GCC),BD 4000,180 days,BD 100,24 Month,No,"Sunday, 14 September 2025","Wednesday, 24 September 2025","Sunday, 05 October 2025","Monday, 06 October 2025",https://www.tenderboard.gov.bh/TenderDetails/?id=532%2f2025%2fBTB+(RFP%2fGSA%2f06%2f2025),,,,,,,
Awarded Tenders Nov 2025.pdf,3,2025-11,الهيئة العامة للرياضة,الهيئة العامة للرياضة,RFP/GSA/09/2025,RFP/GSA/09/2025,مناقصة,صيانة لوائح النتائج لمنشآت الهيئة ا,الخدمات والمزايدات والاستثمار,506880.0,الهيئة العامة للرياضة,الخدمات والمزايدات والاستثمار,صيانة لوائح النتائج لمنشآت الهيئة ا,13.136031541019733,2025,RFP,1,P1_RFP,accepted_exact,RFP/GSA/09/2025,565/2025/BTB (RFP/GSA/09/2025),The General Sports Authority are looking to develop the Sports Facilities through Scoreboard Maintenance for various GSA facilities in the Kingdom of Bahrain. Contractor is required to fulfill their obligations to the contract and is subject to the terms and conditions of the contract.,General Sports Authority,,External,Public (LOCAL GCC),BD 4000,180 days,BD 100,36 Month,No,"Monday, 22 September 2025","Sunday, 28 September 2025","Wednesday, 08 October 2025","Thursday, 09 October 2025",https://www.tenderboard.gov.bh/TenderDetails/?id=565%2f2025%2fBTB+(RFP%2fGSA%2f09%2f2025),,,,,,,
