entity,tender_no,winner,amount_bhd
تقرير الترسيات الشهري,TB/39362/2025,PRICEWATER HOUSE                        1,"1,496,352.000"
الشركة العامة للدواجن,TB/40048/2026,HAMAD TOWN                               1,"72,107.280"
الشركة العامة للدواجن,TB/40070/2026,UNIVERSAL MEDICAL                       1,"2,686,560.000"
الشركة العامة للدواجن,TB/39973/2026,GULF CORPORATION FOR                    1,"1,960,600.000"
المستشفيات الحكومية,TB/37111/2024,GULF PHARMACIES W.L.L                    1,"402,003.800"
المستشفيات الحكومية,TB/37111/2024,BAHRAIN PHARMACY                      1,"402,003.800"
المستشفيات الحكومية,TB/33951/2023,ORACLE                                  1,"211,590.000"
المستشفيات الحكومية,TB/20306/2015,BAHRAIN BUSINESS                         1,"41,669.244"
المستشفيات الحكومية,TB/19604/2014,IBM WORLD TRADE                           1,"40,979.539"
المستشفيات الحكومية,2026-1,Marsh MEA Ltd                             1,"60,000.000"
الهيئة الوطنية لتنظيم المهن والخدمات الصحية,TB/33319/2022,Ebit W.L.L                           1,"208,094.414"
الهيئة الوطنية لتنظيم المهن والخدمات الصحية,TP-817-2021,MOHAMED                                   1,"1,562,044.525"
الهيئة الوطنية لتنظيم المهن والخدمات الصحية,TB/39815/2026,AEG POWER SOLUTION                         1,"65,016.340"
الهيئة الوطنية لتنظيم المهن والخدمات الصحية,TP-668-2020,SECURI CORE S.P.C.                        1,"64,674.000"
بابكو للتكرير,TB/39619/2026,PRUDENT SOLUTIONS                          1,"415,787.500"
بابكو للتكرير,EB/26/E-01,ERNST & YOUNG                          1,"198,000.000"
بورصة البحرين,TB/35606/2024,DELOITTE & TOUCHE                       1,"9,700.000"
بوليتكنك البحرين,BP/006/2026,ALBARAKA EXHIBITION                     1,"51,863.900"
جهاز الخدمة المدنية,TB/37636/2025,AJ PROPERTIES W.L.L.                    1,"72,000.000"
حلبة البحرين الدولية,IN/BIC/43/2023,ALMOAYYED AIR                            1,"10,784.400"
حلبة البحرين الدولية,BIC/45/2025,BEYON SOLUTIONS W.L.L                   1,"46,149.575"
حلبة البحرين الدولية,TB/39193/2025,MILLER INSURANCE                        1,"84,975.800"
حلبة البحرين الدولية,TB/39385/2025,LIRI ARCHITECTURE                        1,"57,492.500"
حلبة البحرين الدولية,BIC/29/2025,BAHRAIN INTERNATIONAL                      1,"268,156.900"
حلبة البحرين الدولية,TB/39532/2026,PKE GULF                                 1,"259,669.300"
حلبة البحرين الدولية,TB/40118/2026,JELL BRENZE GAME                          1,"10,308.600"
شركة مطار البحرين,TB/36561/2024,ENERSERV W.L.L.                            1,"232,320.000"
شركة مطار البحرين,TB/39404/2025,DAR AKHBAR AL                             1,"33,000.000"
شركة مطار البحرين,TB/39551/2026,LANTERIA LLC                              1,"23,881.743"
طيران الخليج,BTB-2587-04-25,TATA COMMUNICATION                        1,"159,984.000"
طيران الخليج,TB/32015/2022,NEWREST                                  1,"814,111.000"
مجلس النواب,TB/39554/2026,NATIONAL HOTELS                          1,"39,017.768"
مجلس النواب,RFP/BAC/2025,SSP BAHRAIN W.L.L                      1,"3,625,679.000"
مجلس النواب,TB/37518/2024,INFOSYSTA                                1,"228,549.000"
مجلس النواب,TB/36057/2024,NASS INTERNATIONAL                        1,"36,432.000"
مواقع ومباني مراكز الرعاية الصحية,ALDANA/03/2026,SHOWTECH                                1,"3,500,000.000"
مواقع ومباني مراكز الرعاية الصحية,EXT/IPA/2025,WYNDHAM GRAND                            1,"150,000.000"
هيئة البحرين للسياحة والمعارض,TB/39906/2026,THOROUGH EVENT LTD                         1,"735,000.000"
هيئة البحرين للسياحة والمعارض,BTEA/DP/020/2026,PROJECT 2 PUBLIC                           1,"129,580.000"
الخارجية في دول مجلس التعاون الخليجي,BTEA/DP/021/2026,STUDIO HUEMAN W.L.L                       1,"144,716.000"
الخارجية في دول مجلس التعاون الخليجي,TB/39557/2026,ATNAFAS CREATIVE                            1,"36,850.000"
هيئة التخطيط والتطوير العمراني,TB/39956/2026,SOM                                      1,"4,147,826.000"
هيئة الكهرباء والماء,RP-ISD-011-2022,BAHRAIN COMPUTER                           1,"6,230.500"
هيئة الكهرباء والماء,IN/CSD/HR/2025,ELECTRONIC,"26,010.000"
هيئة الكهرباء والماء,RP-EPD-129-2023,POWER TECH                                  1,"34,736.256"
هيئة الكهرباء والماء,TB/39970/2026,B 10 CONSULTANCY                            1,"521,600.000"
هيئة الكهرباء والماء,RP-FRSD-167-2022,MODERN MECHANICAL,"25,260.000"
هيئة الكهرباء والماء,PM-EDD-014-2023,AL KOOHEJI ELECTRICAL                       1,"270,172.000"
هيئة الكهرباء والماء,RP-WTD-151-2025,ALOMRAN GENERAL                            1,"129,989.808"
هيئة الكهرباء والماء,RP-EPD-039-2024,FINE FOODS CATERING                        1,"7,360.000"
هيئة الكهرباء والماء,RP-ETD-005-2026,RUKUN AL YAQEEN                             1,"251,688.000"
فولت في محطات نقل الكهرباء,PP-GSCSD-004-2026,R.B HILTON                                1,"152,311.690"
فولت في محطات نقل الكهرباء,PT/CSD/HA/2026,MOHAMMED FAKHROO                        1,"35,979.700"
فولت في محطات نقل الكهرباء,PT/CSD/MH/2026,AL BAKALI GENERAL                        1,"29,600.000"
فولت في محطات نقل الكهرباء,PT/CSD/HR/2026,FERRULE GM,"30,118.500"
فولت في محطات نقل الكهرباء,PT/CSD/MH/2025,Y. K. ALMOAYYED & SONS                    1,"116,190.000"
فولت في محطات نقل الكهرباء,PT/CSD/MA/2026,UNIVERSAL ELECTRO                         1,"75,760.000"
فولت في محطات نقل الكهرباء,PT/CSD/MH/2026,TAQI MOHAMMED                             1,"55,079.000"
فولت في محطات نقل الكهرباء,TB/40091/2026,BAHRAIN BUSINESS                          1,"199,245.200"
البيانات الحكومي,TRA/RFP/2025,MYSON TECHNOLOGIES                         1,"148,682.000"
البيانات الحكومي,TB/30571/2021,INTERNATIONAL                              1,"18,437.328"
هيئة تنظيم سوق العمل,SES-23/0007,NATIONAL EXCAVATION                       1,"233,894.059"
هيئة تنظيم سوق العمل,RDS-25/0029,HAJI HASSAN GROUP                       1,"364,227.808"
هيئة تنظيم سوق العمل,SES-23/0020,AL NOSAIF CONTRACTING                    1,"15,443.688"
هيئة تنظيم سوق العمل,SES-23/0011,AQUA TECHNOLOGY                          1,"1,323.543"
